sample_name,target_name,locus_id,ct_value,type
J-N1R1,HK04,LOC_Os01g16970,8.5684368939543,Reference
J-N1R2,HK04,LOC_Os01g16970,7.5216844564234,Reference
J-N1R3,HK04,LOC_Os01g16970,6.94593794319563,Reference
J-N2R1,HK04,LOC_Os01g16970,8.73131985171033,Reference
J-N2R2,HK04,LOC_Os01g16970,7.68020078054117,Reference
J-N2R3,HK04,LOC_Os01g16970,7.70300442190405,Reference
J-N3R1,HK04,LOC_Os01g16970,8.16414341445122,Reference
J-N3R2,HK04,LOC_Os01g16970,7.44522253758709,Reference
J-N3R3,HK04,LOC_Os01g16970,7.5994537272995,Reference
J-N4R1,HK04,LOC_Os01g16970,7.11785083544973,Reference
J-N4R2,HK04,LOC_Os01g16970,8.03335591250892,Reference
J-N4R3,HK04,LOC_Os01g16970,7.28598478976556,Reference
G-N1R1,HK04,LOC_Os01g16970,6.8770215671211,Reference
G-N1R2,HK04,LOC_Os01g16970,7.04960610320926,Reference
G-N1R3,HK04,LOC_Os01g16970,6.1691098030821,Reference
G-N2R1,HK04,LOC_Os01g16970,6.53727692165422,Reference
G-N2R2,HK04,LOC_Os01g16970,6.1622798367414,Reference
G-N2R3,HK04,LOC_Os01g16970,6.15961381569159,Reference
G-N3R1,HK04,LOC_Os01g16970,7.0775248380949,Reference
G-N3R2,HK04,LOC_Os01g16970,6.3498238350432,Reference
G-N3R3,HK04,LOC_Os01g16970,6.35266825338052,Reference
G-N4R1,HK04,LOC_Os01g16970,6.46343446056658,Reference
G-N4R2,HK04,LOC_Os01g16970,7.20897367157267,Reference
G-N4R3,HK04,LOC_Os01g16970,7.50867504596945,Reference
B-N1R1,HK04,LOC_Os01g16970,7.36861939023422,Reference
B-N1R2,HK04,LOC_Os01g16970,7.7130064037693,Reference
B-N1R3,HK04,LOC_Os01g16970,6.75054904288529,Reference
B-N2R1,HK04,LOC_Os01g16970,7.55197154479129,Reference
B-N2R2,HK04,LOC_Os01g16970,7.35626232285509,Reference
B-N2R3,HK04,LOC_Os01g16970,6.01891755190171,Reference
B-N3R1,HK04,LOC_Os01g16970,6.90423720296369,Reference
B-N3R2,HK04,LOC_Os01g16970,6.41257122126563,Reference
B-N3R3,HK04,LOC_Os01g16970,6.17202603698249,Reference
B-N4R1,HK04,LOC_Os01g16970,7.0656912281079,Reference
B-N4R2,HK04,LOC_Os01g16970,7.29014198288523,Reference
B-N4R3,HK04,LOC_Os01g16970,6.8279274298131,Reference
I-N1R1,HK04,LOC_Os01g16970,8.72741014352598,Reference
I-N1R2,HK04,LOC_Os01g16970,7.08134229610185,Reference
I-N1R3,HK04,LOC_Os01g16970,7.51932533094801,Reference
I-N2R1,HK04,LOC_Os01g16970,7.31810765506327,Reference
I-N2R2,HK04,LOC_Os01g16970,7.26675092377155,Reference
I-N2R3,HK04,LOC_Os01g16970,7.42882016438217,Reference
I-N3R1,HK04,LOC_Os01g16970,6.22837348737136,Reference
I-N3R2,HK04,LOC_Os01g16970,8.66167482581136,Reference
I-N3R3,HK04,LOC_Os01g16970,8.55971743693068,Reference
